30,30,0,30,1.0,0,279.0,0.006894698173446959,60.0,5.653149777622998e-06,17548610.52199766,0.2951886220831522
60,60,0,60,1.0,0,260.0,0.00691541463462418,60.0,3.2472994058525587e-06,11417425.636117853,0.2021396674321912
90,90,0,90,1.0,0,223.0,0.003434014877691782,60.0,8.558218146696936e-06,17142168.717957005,0.2675973637543462
120,120,0,120,1.0,0,249.0,0.007878802112752294,60.0,3.195705192338024e-06,14758959.693874689,0.2643219449704529
150,150,0,150,1.0,0,291.0,0.001105494559661291,60.0,4.025697730316043e-06,2234569.6647844333,0.2390161067238394
180,180,0,180,1.0,0,229.0,0.006124440582687267,60.0,7.164046210945943e-06,6771862.970935277,0.21279668482130226
210,210,0,210,1.0,0,232.0,0.002754473065775493,60.0,9.188414311743754e-06,7442321.128372188,0.22723146627468685
240,240,0,240,1.0,0,226.0,0.001283199281674105,60.0,6.384358673304739e-06,2202150.4920365727,0.21013877674627593
270,270,0,270,1.0,0,300.0,0.0022256714197450007,60.0,9.968993461973892e-06,14909603.433001349,0.28149894484101834
300,300,0,300,1.0,0,220.0,0.0015254126206463397,60.0,2.0988007553004964e-06,11467536.192232355,0.2940920607725219
330,330,0,330,1.0,0,260.0,0.00866239592871695,60.0,8.312446857268867e-06,1593717.7858691057,0.2518622366883054
360,360,0,360,1.0,0,295.0,0.006824809914755771,60.0,7.3431659175288435e-06,13397219.05232569,0.2877607030973198
390,390,0,390,1.0,0,281.0,0.006242098101488297,60.0,3.6779957980971682e-06,2367992.2481117984,0.22929923851044964
420,420,0,420,1.0,0,287.0,0.0017470288866200487,60.0,7.3360174079889845e-06,9699707.306029465,0.27626747576438215
450,450,0,450,1.0,0,205.0,0.0035966930054059537,60.0,8.494019323027879e-06,17476897.99863009,0.25719082291945744
480,480,0,480,1.0,0,225.0,0.0070920025462956,60.0,6.718285417048058e-06,9384322.936833337,0.26525154345141344
510,510,0,510,1.0,0,263.0,0.0018129699091539247,60.0,9.281727717100423e-06,10055672.500523603,0.28720136706939503
540,540,0,540,1.0,0,205.0,0.003587705612312216,60.0,4.780428805799491e-06,4172586.718851654,0.20603392764500467
570,570,0,570,1.0,0,201.0,0.001230177055500289,60.0,6.519477838032947e-06,10449409.527305957,0.29203118274841083
600,600,0,600,1.0,0,263.0,0.009815873187388496,60.0,3.943422834711176e-06,8406111.850017985,0.2718465757256897
630,630,0,630,1.0,0,293.0,0.0029727268249786177,60.0,5.237299206256779e-06,12562063.508318726,0.24307030081606484
660,660,0,660,1.0,0,272.0,0.003379877798104453,60.0,9.653863277092002e-06,10278523.546504702,0.27838761623432623
690,690,0,690,1.0,0,233.0,0.002028282307425151,60.0,9.748242610096537e-06,4853587.071703101,0.27498463624140007
711,709,2,743,0.24193292935855676,1,261.0,0.004004014969166765,60.0,3.989919511044485e-06,17649298.665982157,0.2608664676885169
741,739,2,773,1.0,1,259.0,0.00885982801856399,60.0,9.402311880403262e-06,11718646.775392866,0.2987524698029732
771,769,2,803,1.0,1,238.0,0.007166387127487487,60.0,3.215423522850062e-06,18341237.66555702,0.21333842866987518
801,799,2,833,1.0,1,286.0,0.008435786015534626,60.0,7.031204807598416e-06,11318285.000477787,0.22232639113362695
831,829,2,863,1.0,1,205.0,0.009332006619263991,60.0,6.430799503931503e-06,15615339.915173559,0.2769878264217782
861,859,2,893,1.0,1,290.0,0.006045173648552737,60.0,4.476532990449889e-06,5902754.308011045,0.2548730714926908
891,889,2,923,1.0,1,289.0,0.006133704348641838,60.0,2.69632332027209e-06,4254272.110160318,0.2841073865176545
